id,reference,theme,text
G01,BG 2.47,detachment,"You have a right to your actions alone, never to their fruits; let the fruits of action not be your motive, and do not be attached to inaction."
G02,BG 2.48,equanimity,"Perform your work steadily, letting go of attachment, even-minded in success and failure; this evenness of mind is what is meant by yoga."
G03,BG 2.14,impermanence,"Encounters with the world bring heat and cold, pleasure and pain; they come and they go and do not last. Learn to endure them with patience."
G04,BG 2.38,equanimity,"Treat pleasure and pain, gain and loss, victory and defeat as the same, and then act; meeting them evenly, you bring no harm upon yourself."
G05,BG 2.56,non_reactivity,"One whose mind is untroubled in sorrow and unexcited in pleasure, free of craving, fear, and anger, is called steady in wisdom."
G06,BG 2.62,anger,"Dwelling on objects of desire breeds attachment; from attachment grows desire, and from desire that is thwarted comes anger."
G07,BG 2.63,anger,"From anger comes confusion, and from confusion a wavering memory; when memory fails, judgment is lost, and a person comes undone."
G08,BG 2.70,peace,"As rivers flow into the ocean that stays full and unmoved, the one whom desires enter without disturbing finds peace; the one who chases desire does not."
G09,BG 2.71,peace,"The person who lets go of all cravings and acts without longing, without 'mine' and without ego, comes to peace."
G10,BG 3.35,duty,"It is better to do your own duty imperfectly than to do another's duty well; follow the path that is genuinely yours."
G11,BG 6.5,self_reliance,"Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy."
G12,BG 6.6,self_control,"For one who has mastered the self, the self is a friend; but for one who has not, the self behaves like an enemy."
G13,BG 6.35,practice,"The mind is indeed restless and hard to hold, yet through steady practice and through letting go, it can be calmed."
G14,BG 2.50,skill_in_action,"One who acts with an even mind leaves behind both good and bad outcomes; therefore commit to acting well, for skill in action is yoga."
G15,BG 5.10,detachment,"Whoever acts while offering their actions and letting go of attachment is untouched by harm, like a lotus leaf untouched by water."
G16,BG 2.40,courage,"On this path no effort is wasted and no step is lost; even a little movement toward it protects you from great fear."
G17,BG 2.3,resilience,"Do not give way to weakness; it does not suit you. Shake off this faint-heartedness and rise."
G18,BG 12.13,compassion,"Be free of hatred toward all, friendly and compassionate, without possessiveness or ego, even-minded in pain and pleasure, and patient."
G19,BG 12.15,steadiness,"The one who does not agitate the world and is not agitated by it, free of excitement, envy, fear, and anxiety, is at ease."
G20,BG 16.21,restraint,"Desire, anger, and greed are three gates that lead to ruin; recognizing this, a person learns to release them."
G21,BG 6.32,empathy,"The one who sees others as like themselves, and feels their joy and pain as their own, is regarded as the highest in understanding."
G22,BG 3.19,duty,"Therefore do the work that is yours to do without attachment; acting without clinging, a person reaches what is highest."
G23,BG 18.48,acceptance,"Do not abandon the work suited to your nature even if it is flawed; every undertaking carries some imperfection, as fire carries smoke."
G24,BG 4.18,clarity,"The wise see action within inaction and inaction within action; they keep a clear and settled mind in all that they do."
G25,BG 2.64,calm,"One who moves among things with senses free of craving and aversion, guided by a steady self, arrives at inner calm."
G26,BG 2.66,steadiness,"Without a steady mind there is little clear thinking, and without clear thinking, little peace; and without peace, where is happiness?"
G27,BG 9.22,trust,"For those who act with steadiness and keep their mind settled, what is needed tends to arrive; loosen the frantic grasping."
G28,BG 18.66,letting_go,"Let go of anxious clinging to every outcome; set down the burden of needing to control all things, and do not grieve."
